Book,Total Paragraphs,Paragraphs (100-250 words)
"102_The-$30,000-Bequest,-and-Other-Stories.txt",1687,233
103_The-Adventures-of-Huckleberry-Finn.txt,2228,295
"104_The-Adventures-of-Tom-Sawyer,-Part-1..txt",196,17
"105_The-Adventures-of-Tom-Sawyer,-Part-2..txt",313,20
"106_The-Adventures-of-Tom-Sawyer,-Part-3..txt",257,15
"107_The-Adventures-of-Tom-Sawyer,-Part-4..txt",205,25
"108_The-Adventures-of-Tom-Sawyer,-Part-5..txt",198,21
"109_The-Adventures-of-Tom-Sawyer,-Part-6..txt",321,16
"110_The-Adventures-of-Tom-Sawyer,-Part-7..txt",231,19
"111_The-Adventures-of-Tom-Sawyer,-Part-8..txt",192,9
112_The-Adventures-of-Tom-Sawyer.txt,2099,146
113_The-American-Claimant.txt,1711,148
114_The-Best-American-Humorous-Short-Stories.txt,1982,255
"115_The-Curious-Republic-of-Gondour,-and-Other-Whimsical-Sketches.txt",284,31
116_The-Facts-Concerning-the-Recent-Carnival-of-Crime-in-Connecticut.txt,136,16
117_The-Gilded-Age:-A-Tale-of-Today.txt,3101,418
"118_The-Gilded-Age,-Part-1..txt",423,60
"119_The-Gilded-Age,-Part-2..txt",418,56
"120_The-Gilded-Age,-Part-3..txt",344,55
"121_The-Gilded-Age,-Part-4..txt",461,66
"122_The-Gilded-Age,-Part-5..txt",519,58
"123_The-Gilded-Age,-Part-6..txt",443,52
"124_The-Gilded-Age,-Part-7..txt",446,55
"125_The-Great-English-Short-Story-Writers,-Volume-1.txt",1157,245
126_The-Innocents-Abroad.txt,1985,569
127_The-Innocents-Abroad-—-Volume-01.txt,391,76
128_The-Innocents-Abroad-—-Volume-02.txt,338,105
129_The-Innocents-Abroad-—-Volume-03.txt,412,85
130_The-Innocents-Abroad-—-Volume-04.txt,255,103
131_The-Innocents-Abroad-—-Volume-05.txt,235,86
132_The-Innocents-Abroad-—-Volume-06.txt,372,114
"133_The-Man-That-Corrupted-Hadleyburg,-and-Other-Stories.txt",2382,306
134_The-Man-That-Corrupted-Hadleyburg.txt,434,32
"135_The-Mysterious-Stranger,-and-Other-Stories.txt",686,111
136_The-Mysterious-Stranger:-A-Romance.txt,657,99
"137_The-Prince-and-the-Pauper,-Part-1..txt",139,16
"138_The-Prince-and-the-Pauper,-Part-2..txt",140,12
"139_The-Prince-and-the-Pauper,-Part-3..txt",130,14
"140_The-Prince-and-the-Pauper,-Part-4..txt",180,23
