class,text_file_name,author,word_count,ttr,hapax_ratio,zipf_alpha,zipf_mape,avg_parse_depth,adj_noun_ratio,noun_verb_ratio,adverb_verb_ratio,em_dash_freq,semicolon_freq,colon_freq,exclamation_freq,double_quote_freq,flesch_kincaid_grade
Class 3: AI-mimicry,TWAIN_Following-the-Equator:-A-Journey-Around-the-World.-Part-7_T03_02.txt,Mark Twain,191,,0.8778625954198473,2.373894908541761,6.062720942602871,8.714285714285714,0.4318181818181818,1.8333333333333333,0.3333333333333333,2.004008016032064,1.002004008016032,0.0,0.0,0.0,10.173862433862435
Class 3: AI-mimicry,"TWAIN_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_T04_02.txt",Mark Twain,187,,0.8267716535433071,2.741887845856777,18.539360401912198,10.0,0.4,1.6,0.28,3.021148036253776,0.0,0.0,0.0,0.0,14.257862068965519
Class 3: AI-mimicry,TWAIN_Following-the-Equator:-A-Journey-Around-the-World.-Part-7_T04_01.txt,Mark Twain,194,,0.8359375,2.3679012062699822,5.4542497116654935,9.6,0.43902439024390244,1.8636363636363635,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,16.12263157894737
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-9._T03_01.txt",Mark Twain,185,,0.8166666666666667,2.6020942343637232,20.639577870584272,9.6,0.47619047619047616,1.826086956521739,0.4782608695652174,2.0080321285140563,1.0040160642570282,0.0,0.0,0.0,15.614183908045977
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-9._T01_01.txt",Mark Twain,182,,0.8145161290322581,2.265496462551769,8.936901085519844,7.166666666666667,0.475,1.8181818181818181,0.36363636363636365,2.1299254526091587,2.1299254526091587,0.0,0.0,0.0,11.563285714285715
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-4._T01_01.txt",Mark Twain,167,,0.8403361344537815,2.547436214473928,15.999510793030819,8.0,0.4,1.4583333333333333,0.5416666666666666,1.1261261261261262,0.0,0.0,0.0,0.0,13.12277300613497
Class 3: AI-mimicry,"TWAIN_Life-on-the-Mississippi,-Part-10._T02_01.txt",Mark Twain,180,,0.8467741935483871,2.2535310076033817,19.573821894643622,6.0,0.34782608695652173,2.090909090909091,0.18181818181818182,0.0,1.002004008016032,0.0,1.002004008016032,6.012024048096192,8.496714285714287
Class 3: AI-mimicry,"TWAIN_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2._T02_01.txt",Mark Twain,177,,0.8412698412698413,2.4523090302623727,9.07770878715997,6.571428571428571,0.4444444444444444,1.6363636363636365,0.2727272727272727,2.1413276231263385,1.0706638115631693,0.0,0.0,0.0,10.015505430242275
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-06_T02_02.txt,Mark Twain,162,,0.8532110091743119,2.533456292246485,19.294865705462488,7.5,0.6052631578947368,2.375,0.375,0.0,1.122334455667789,0.0,0.0,0.0,11.732142857142858
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-4._T05_02.txt",Mark Twain,182,,0.8389830508474576,2.4242172498122887,16.166376733053454,8.833333333333334,0.2558139534883721,1.72,0.12,0.0,2.074688796680498,0.0,0.0,0.0,13.032307692307693
Class 3: AI-mimicry,"TWAIN_The-Prince-and-the-Pauper,-Part-8._T02_02.txt",Mark Twain,134,,0.845360824742268,2.849502566179871,21.563318958569408,6.166666666666667,0.4827586206896552,2.230769230769231,0.5384615384615384,0.0,1.3812154696132597,0.0,0.0,0.0,9.19846153846154
Class 3: AI-mimicry,TWAIN_Sketches-New-and-Old_T01_01.txt,Mark Twain,170,,0.8384615384615385,,,8.8,0.4375,1.1851851851851851,0.3333333333333333,0.0,1.1261261261261262,0.0,0.0,0.0,13.143530864197533
Class 3: AI-mimicry,TWAIN_The-Adventures-of-Tom-Sawyer_T02_01.txt,Mark Twain,183,,0.8173913043478261,2.463752287874107,14.832904256514917,6.666666666666667,0.375,2.2857142857142856,0.14285714285714285,1.0235414534288638,0.0,0.0,1.0235414534288638,0.0,8.146666666666668
Class 3: AI-mimicry,"TWAIN_Life-on-the-Mississippi,-Part-10._T04_01.txt",Mark Twain,182,,0.7796610169491526,2.719205425266741,15.407843333417881,6.714285714285714,0.3333333333333333,1.1379310344827587,0.2413793103448276,1.0905125408942202,1.0905125408942202,0.0,0.0,0.0,9.703322259136211
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-4._T04_02.txt",Mark Twain,178,,0.7833333333333333,2.8350168150476005,22.946994072201488,8.333333333333334,0.5,1.8095238095238095,0.3333333333333333,1.0526315789473684,1.0526315789473684,0.0,0.0,0.0,12.776461988304096
